"DisplayName","DisplayVersion","Publisher","InstallLocation","UninstallString"
"Microsoft .NET AppHost Pack - 6.0.36 (x64_arm64)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{CFAEEA63-3413-4B59-A881-FDD6C8057F37}"
"Microsoft .NET AppHost Pack - 6.0.36 (x64_x86)","48.144.23141","Microsoft Corporation","","MsiExec.exe /X{CBDC7866-77FE-4D1F-A05B-EAED5C271D29}"
"Microsoft .NET AppHost Pack - 7.0.20 (x64)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{1EE86997-97BB-4CC5-A5C9-824D4A8C4C33}"
"Microsoft .NET AppHost Pack - 7.0.20 (x64_arm)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{004C6218-4F46-4ECD-9825-0AF4AB2299A8}"
"Microsoft .NET AppHost Pack - 7.0.20 (x64_arm64)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{866F4150-A781-40E0-80E7-5DF0E4F36BDD}"
"Microsoft .NET AppHost Pack - 7.0.20 (x64_x86)","56.80.15184","Microsoft Corporation","","MsiExec.exe /X{B241FC20-E3D2-4597-8B98-9B784C6526A0}"
"Microsoft .NET AppHost Pack - 8.0.23 (x64)","64.92.45415","Microsoft Corporation","","MsiExec.exe /X{1CF2B077-B802-498B-90C8-A3E54478A169}"
"Microsoft .NET AppHost Pack - 8.0.23 (x64_arm64)","64.92.45415","Microsoft Corporation","","MsiExec.exe /X{60705A03-CE75-4027-B439-50DEE110226B}"
"Microsoft .NET AppHost Pack - 8.0.23 (x64_x86)","64.92.45415","Microsoft Corporation","","MsiExec.exe /X{8A81873E-4301-49C5-A66F-06E836441121}"
"Microsoft .NET AppHost Pack - 8.0.24 (x64)","64.96.47242","Microsoft Corporation","","MsiExec.exe /X{335C72AE-2184-49CC-A589-8D40839A88AE}"
"Microsoft .NET AppHost Pack - 8.0.24 (x64_arm64)","64.96.47242","Microsoft Corporation","","MsiExec.exe /X{16A59ADB-E8FA-4FA0-A51F-49E161A7C50B}"
"Microsoft .NET AppHost Pack - 8.0.24 (x64_x86)","64.96.47242","Microsoft Corporation","","MsiExec.exe /X{B6C7F195-2A16-4A01-9F60-970EEDF8AC88}"
"Microsoft .NET AppHost Pack - 8.0.25 (x64)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{317C54D6-809F-44DA-858C-5C1D1287B622}"
"Microsoft .NET AppHost Pack - 8.0.25 (x64_arm64)","64.100.48707","Microsoft Corporation","","MsiExec.exe /X{508AB495-4537-4551-A52F-EB0066F1BD88}"
